LOINC_CODE,DTA_DESC
94172-4,My child could open a jar by himself or herself in past 7D [PROMIS.PARENTPROXY]
94171-6,My child could pour a drink from a full pitcher in past 7D [PROMIS.PARENTPROXY]
94175-7,My child could pull a shirt on over his or her head without help in past 7D [PROMIS.PARENTPROXY]
94176-5,My child could open the rings in school binders in past 7D [PROMIS.PARENTPROXY]
94174-0,My child could use a key to unlock a door in past 7D [PROMIS.PARENTPROXY]
94177-3,My child could button his or her shirt or pants in past 7D [PROMIS.PARENTPROXY]
94178-1,My child could put on his or her shoes without help in past 7D [PROMIS.PARENTPROXY]
94179-9,PROMIS parent proxy short form - pain interference 8 - version 1.0 raw score
94180-7,PROMIS parent proxy short form - pain interference 8 - version 1.0
94161-7,PROMIS parent proxy item bank - mobility - version 1.0
94162-5,PROMIS parent proxy item bank - pain interference - version 1.0
94163-3,PROMIS parent proxy pain interference - version 1.0 T-score
94164-1,PROMIS parent proxy - global health 7 - version 1.0 raw score
94165-8,PROMIS parent proxy - global health 7 - version 1.0
94166-6,PROMIS parent proxy short form - mobility 8 - version 1.0
94167-4,PROMIS parent proxy short form mobility 8 - version 1.0 raw score
94157-5,PhenX - age of initiation of first cigarette use - adult protocol 030703
94158-3,PhenX - ethnicity protocol 010502
94151-8,Bacteria.carbapenem resistant identified in Unspecified specimen by Organism specific culture
94149-2,"Heterophile Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
94147-6,Mitral valve B-bump by US.M-mode
94148-4,Descending thoracic aorta Holodiastolic flow reversal by US.doppler
94145-0,Crotonylglycine/Creatinine [Molar ratio] in Urine
94146-8,2-Decenedioate/Creatinine [Molar ratio] in Urine
93414-1,Altered level of consciousness in last 3 day [CAM.CMS]
14647-2,Cholesterol [Moles/volume] in Serum or Plasma
14646-4,Cholesterol in HDL [Moles/volume] in Serum or Plasma
7799-0,Fibrin D-dimer [Units/volume] in Platelet poor plasma
33256-9,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count
7789-1,Acanthocytes [Presence] in Blood by Light microscopy
1715-2,Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma
3184-9,Activated clotting time (ACT) of Blood by Coagulation assay
1754-1,Albumin [Mass/volume] in Urine
19343-3,Amphetamine [Presence] in Urine by Screen method
600-7,Bacteria identified in Blood by Culture
606-4,Bacteria identified in Cerebral spinal fluid by Culture
10352-3,Bacteria identified in Genital specimen by Aerobe culture
6460-0,Bacteria identified in Sputum by Culture
624-7,Bacteria identified in Sputum by Respiratory culture
625-4,Bacteria identified in Stool by Culture
626-2,Bacteria identified in Throat by Culture
635-3,Bacteria identified in Unspecified specimen by Anaerobe culture
32355-0,Bacteria identified in Unspecified specimen by Respiratory culture
630-4,Bacteria identified in Urine by Culture
764-1,Band form neutrophils/100 leukocytes in Blood by Manual count
703-9,Basophilic stippling [Presence] in Blood by Light microscopy
44447-1,Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum or Plasma by Immunoassay
1977-8,Bilirubin.total [Presence] in Urine
8306-3,Body height --lying
3138-5,Body height Stated
75292-3,Body weight - Reported --usual
17863-2,Calcium.ionized [Mass/volume] in Serum or Plasma
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma
10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma
2026-3,"Carbon dioxide, total [Moles/volume] in Arterial blood"
2027-1,"Carbon dioxide, total [Moles/volume] in Venous blood"
560-3,Chlamydia sp identified in Unspecified specimen by Organism specific culture
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma
32167-9,Clarity of Urine
3397-7,Cocaine [Presence] in Urine
19359-9,Cocaine [Presence] in Urine by Screen method
8462-4,Diastolic blood pressure
7792-5,Dohle body [Presence] in Blood by Light microscopy
6742-1,Erythrocyte morphology finding [Identifier] in Blood
60836-4,Esophageal temperature
48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma
601-5,Fungus identified in Blood by Culture
580-1,Fungus identified in Unspecified specimen by Culture
3663-2,Gentamicin [Mass/volume] in Serum or Plasma --peak
3665-7,Gentamicin [Mass/volume] in Serum or Plasma --trough
2336-6,Globulin [Mass/volume] in Serum
32016-8,Glucose [Mass/volume] in Capillary blood
20438-8,Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose
20436-2,Glucose [Mass/volume] in Serum or Plasma --2 hours post dose glucose
25428-4,Glucose [Presence] in Urine by Test strip
8867-4,Heart rate
8890-6,Heart rate Cardiac apex by Auscultation
8893-0,Heart rate Peripheral artery by palpation
725-2,Hemoglobin [Presence] in Urine
13951-9,Hepatitis A virus Ab [Presence] in Serum by Immunoassay
5859-4,Herpes simplex virus identified in Unspecified specimen by Organism specific culture
20447-9,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method
29541-0,HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe and target amplification method
33903-6,Ketones [Presence] in Urine
2518-9,Lactate [Moles/volume] in Arterial blood
32781-7,Legionella sp Ag [Presence] in Urine
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture
14267-9,Methylenedioxymethamphetamine [Presence] in Urine
10329-1,Monocytes/100 leukocytes in Cerebral spinal fluid by Manual count
543-9,Mycobacterium sp identified in Unspecified specimen by Organism specific culture
33762-6,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma
698-1,Neisseria gonorrhoeae [Presence] in Unspecified specimen by Organism specific culture
29953-7,Nuclear Ab [Titer] in Serum
59418-4,Oxygen saturation in Blood Postductal by Pulse oximetry
59407-7,Oxygen saturation in Blood Preductal by Pulse oximetry
3936-2,Phencyclidine [Presence] in Urine
19659-2,Phencyclidine [Presence] in Urine by Screen method
12851-2,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis
13438-7,Protein Fractions [Interpretation] in Urine by Electrophoresis
31147-2,Reagin Ab [Titer] in Serum by RPR
9279-1,Respiratory rate
60474-4,Reticulocytes [#/volume] in Blood by Automated count
7797-4,Rouleaux [Presence] in Blood by Light microscopy
800-3,Schistocytes [Presence] in Blood by Light microscopy
801-1,Sickle cells [Presence] in Blood by Light microscopy
17792-3,Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum
17791-5,Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum
7798-2,Smudge cells [Presence] in Blood by Light microscopy
2965-2,Specific gravity of Urine
8248-7,Spermatozoa [Presence] in Urine sediment by Light microscopy
10380-4,Stomatocytes [Presence] in Blood by Light microscopy
18481-2,Streptococcus pyogenes Ag [Presence] in Throat
8480-6,Systolic blood pressure
8479-8,Systolic blood pressure by palpation
32215-6,Thyroxine (T4) free index in Serum or Plasma by calculation
4059-2,Tobramycin [Mass/volume] in Serum or Plasma --trough
803-7,Toxic granules [Presence] in Blood by Light microscopy
3092-4,Urea [Mass/volume] in Urine
4092-3,Vancomycin [Mass/volume] in Serum or Plasma --trough
9624-8,Vanillylmandelate [Mass/volume] in Urine
62290-2,"1,25-Dihydroxyvitamin D [Mass/volume] in Serum or Plasma"
34571-0,aPTT.lupus sensitive (LA screen)
35503-2,Arterial patency Wrist artery --pre arterial puncture
25145-4,Bacteria [Presence] in Urine sediment by Light microscopy
611-4,Bacteria identified in Body fluid by Culture
19128-8,Bacteria identified in Catheter tip by Culture
43408-4,Bacteria identified in Tissue by Culture
6462-6,Bacteria identified in Wound by Culture
28640-1,Bicarbonate [Moles/volume] in Arterial cord blood
28641-9,Bicarbonate [Moles/volume] in Venous cord blood
76539-6,Blood pressure device Cuff pressure.diastolic
76538-8,Blood pressure device Cuff pressure.systolic
934-0,Blood product unit ID [#]
61008-9,Body surface temperature
8335-2,Body weight Estimated
8348-5,Body weight Measured --pre pregnancy
8514-2,Brachial artery - left Diastolic blood pressure
8546-4,Brachial artery - left Systolic blood pressure
8515-9,Brachial artery - right Diastolic blood pressure
8547-2,Brachial artery - right Systolic blood pressure
33438-3,Breath rate mechanical --on ventilator
19840-8,Breath rate spontaneous and mechanical --on ventilator
19839-0,Breath rate spontaneous --on ventilator
2236-8,Calciferol (Vit D2) [Mass/volume] in Serum or Plasma
5774-5,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy
44971-0,Capillary refill [Time]
44963-7,Capillary refill [Time] of Nail bed
28644-3,Carbon dioxide [Partial pressure] in Arterial cord blood
28645-0,Carbon dioxide [Partial pressure] in Venous cord blood
35729-3,Chlamydia sp DNA [Presence] in Unspecified specimen by Probe and target amplification method
5777-8,Cholesterol crystals [Presence] in Urine sediment by Light microscopy
20465-1,Choriogonadotropin [Multiple of the median] in Serum or Plasma
2110-5,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Serum or Plasma
38386-9,Color of Amniotic fluid
4532-8,Complement total hemolytic CH50 [Units/volume] in Serum or Plasma
9795-6,Composition in Stone
9813-7,Cortisol [Mass/volume] in Serum or Plasma --AM peak specimen
9812-9,Cortisol [Mass/volume] in Serum or Plasma --PM trough specimen
30247-1,Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method
8453-3,Diastolic blood pressure--sitting
8454-1,Diastolic blood pressure--standing
8455-8,Diastolic blood pressure--supine
1006-6,Direct antiglobulin test.IgG specific reagent [Interpretation] on Red Blood Cells
54247-2,Drug screen comment [Interpretation] in Urine
55283-6,Fetal Heart rate
20404-0,Fibronectin.fetal [Presence] in Vaginal fluid
5908-9,Giant platelets [Presence] in Blood by Light microscopy
1521-4,Glucose [Mass/volume] in Serum or Plasma --2 hours post meal
20437-0,Glucose [Mass/volume] in Serum or Plasma --3 hours post dose glucose
20439-6,Glucose [Mass/volume] in Serum or Plasma --30 minutes post dose glucose
69000-8,Heart rate --sitting
69001-6,Heart rate --standing
68999-2,Heart rate --supine
6420-4,Helicobacter pylori IgA Ab [Units/volume] in Serum by Immunoassay
5176-3,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay
31204-1,Hepatitis B virus core IgM Ab [Presence] in Serum
29615-2,Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method
16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum
65633-0,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Confirmatory method
16128-1,Hepatitis C virus Ab [Presence] in Serum
31418-7,Heterophile Ab [Presence] in Serum
7918-6,HIV 1+2 Ab [Presence] in Serum
31201-7,HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay
49580-4,HIV 1+2 Ab [Presence] in Unspecified specimen by Rapid immunoassay
2428-1,Homocysteine [Mass/volume] in Serum or Plasma
46418-0,INR in Capillary blood by Coagulation assay
3719-2,Lithium [Mass/volume] in Serum or Plasma
35492-8,Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] in Unspecified specimen by Probe and target amplification method
8247-9,Mucus [Presence] in Urine sediment by Light microscopy
18309-5,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Manual count
774-0,Ovalocytes [Presence] in Blood by Light microscopy
28648-4,Oxygen [Partial pressure] in Arterial cord blood
28649-2,Oxygen [Partial pressure] in Venous cord blood
59409-3,Oxygen saturation in Arterial blood by Pulse oximetry --during treatment
59412-7,Oxygen saturation in Arterial blood by Pulse oximetry --post exercise
59413-5,Oxygen saturation in Arterial blood by Pulse oximetry --post treatment
59416-8,Oxygen saturation in Arterial blood by Pulse oximetry --pre treatment
59417-6,Oxygen saturation in Arterial blood by Pulse oximetry --resting
28646-8,pH of Arterial cord blood
6007-9,Protein C [Units/volume] in Platelet poor plasma by Coagulation assay
5892-5,Protein S [Units/volume] in Platelet poor plasma by Coagulation assay
5964-2,Prothrombin time (PT) in Blood by Coagulation assay
40441-8,Respiratory rate --post exercise
9298-1,Respiratory rate --post inhalation therapy
9302-1,Respiratory rate --pre inhalation therapy
9303-9,Respiratory rate --resting
5876-8,Respiratory syncytial virus Ag [Presence] in Unspecified specimen by Immunoassay
22496-4,Rubella virus Ab [Presence] in Serum
8459-0,Systolic blood pressure--sitting
8460-8,Systolic blood pressure--standing
8461-6,Systolic blood pressure--supine
32766-8,Trichomonas vaginalis [Presence] in Unspecified specimen by Wet preparation
19312-8,Tricyclic antidepressants [Presence] in Urine by Screen method
5814-9,Triple phosphate crystals [Presence] in Urine sediment by Light microscopy
4090-7,Vancomycin [Mass/volume] in Serum or Plasma --peak
31704-0,West Nile virus IgM Ab [Presence] in Serum
32356-8,Yeast [Presence] in Urine sediment by Light microscopy
14725-6,[Type] of Body fluid
1668-3,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma
62292-8,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma
882-1,ABO and Rh group [Type] in Blood
883-9,ABO group [Type] in Blood
3298-7,Acetaminophen [Mass/volume] in Serum or Plasma
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
1747-5,Albumin [Mass/volume] in Body fluid
1751-7,Albumin [Mass/volume] in Serum or Plasma
2862-1,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis
1759-0,Albumin/Globulin [Mass Ratio] in Serum or Plasma
1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma
1763-2,Aldosterone [Mass/volume] in Serum or Plasma
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma
1825-9,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma
2865-4,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis
2868-8,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis
1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma
53962-7,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma
16362-6,Ammonia [Moles/volume] in Plasma
3349-8,Amphetamines [Presence] in Urine
1795-4,Amylase [Enzymatic activity/volume] in Body fluid
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma
1799-6,Amylase [Enzymatic activity/volume] in Urine
2742-5,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma
33037-3,Anion gap in Serum or Plasma
1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma
1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma
5767-9,Appearance of Urine
14979-9,aPTT in Platelet poor plasma by Coagulation assay
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma
8328-7,Axillary temperature
3377-9,Barbiturates [Presence] in Urine
1925-7,Base excess in Arterial blood by calculation
11555-0,Base excess in Blood by calculation
1927-3,Base excess in Venous blood by calculation
704-7,Basophils [#/volume] in Blood by Automated count
706-2,Basophils/100 leukocytes in Blood by Automated count
707-0,Basophils/100 leukocytes in Blood by Manual count
3390-2,Benzodiazepines [Presence] in Urine
2871-2,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis
1952-1,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma
1960-4,Bicarbonate [Moles/volume] in Arterial blood
1959-6,Bicarbonate [Moles/volume] in Blood
1961-2,Bicarbonate [Moles/volume] in Capillary blood
14627-4,Bicarbonate [Moles/volume] in Venous blood
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma
42719-5,Bilirubin.total [Mass/volume] in Blood
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma
5770-3,Bilirubin.total [Presence] in Urine by Test strip
709-6,Blasts/100 leukocytes in Blood by Manual count
8302-2,Body height
3137-7,Body height Measured
8310-5,Body temperature
8329-5,Body temperature - Core
29463-7,Body weight
3141-9,Body weight Measured
3142-7,Body weight Stated
79348-9,Body weight --used for drug calculation
7790-9,Burr cells [Presence] in Blood by Light microscopy
1986-9,C peptide [Mass/volume] in Serum or Plasma
1988-5,C reactive protein [Mass/volume] in Serum or Plasma
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method
1989-3,Calcidiol [Mass/volume] in Serum or Plasma
6874-2,Calcium [Mass/time] in 24 hour Urine
17861-6,Calcium [Mass/volume] in Serum or Plasma
17862-4,Calcium [Mass/volume] in Urine
1994-3,Calcium.ionized [Moles/volume] in Blood
6875-9,Cancer Ag 15-3 [Units/volume] in Serum or Plasma
24108-3,Cancer Ag 19-9 [Units/volume] in Serum or Plasma
17842-6,Cancer Ag 27-29 [Units/volume] in Serum or Plasma
3427-2,Cannabinoids [Presence] in Urine
18282-4,Cannabinoids [Presence] in Urine by Screen method
3432-2,Carbamazepine [Mass/volume] in Serum or Plasma
2019-8,Carbon dioxide [Partial pressure] in Arterial blood
11557-6,Carbon dioxide [Partial pressure] in Blood
2020-6,Carbon dioxide [Partial pressure] in Capillary blood
2021-4,Carbon dioxide [Partial pressure] in Venous blood
20565-8,"Carbon dioxide, total [Moles/volume] in Blood"
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma"
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma
5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay
3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay
3182-3,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay
2064-4,Ceruloplasmin [Mass/volume] in Serum or Plasma
2069-3,Chloride [Moles/volume] in Blood
2075-0,Chloride [Moles/volume] in Serum or Plasma
2078-4,Chloride [Moles/volume] in Urine
2093-3,Cholesterol [Mass/volume] in Serum or Plasma
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma
2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay
2091-7,Cholesterol in VLDL [Mass/volume] in Serum or Plasma
43396-1,Cholesterol non HDL [Mass/volume] in Serum or Plasma
2118-8,Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma
2106-3,Choriogonadotropin (pregnancy test) [Presence] in Urine
2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine
21198-7,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma
3198-9,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay
3209-4,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma
10335-8,Color of Cerebral spinal fluid
5778-6,Color of Urine
4485-9,Complement C3 [Mass/volume] in Serum or Plasma
4498-2,Complement C4 [Mass/volume] in Serum or Plasma
2141-0,Corticotropin [Mass/volume] in Plasma
2143-6,Cortisol [Mass/volume] in Serum or Plasma
2147-7,Cortisol Free [Mass/time] in 24 hour Urine
2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma
2162-6,Creatinine [Mass/time] in 24 hour Urine
38483-4,Creatinine [Mass/volume] in Blood
2160-0,Creatinine [Mass/volume] in Serum or Plasma
2161-8,Creatinine [Mass/volume] in Urine
2164-2,Creatinine renal clearance in 24 hour
5117-7,Cryoglobulin [Presence] in Serum
5838-8,Cytomegalovirus [Presence] in Unspecified specimen by Organism specific culture
5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum by Immunoassay
76535-4,Diastolic blood pressure by Noninvasive
10535-3,Digoxin [Mass/volume] in Serum or Plasma
5130-0,DNA double strand Ab [Units/volume] in Serum
11274-8,Elliptocytes [Presence] in Blood by Light microscopy
711-2,Eosinophils [#/volume] in Blood by Automated count
713-8,Eosinophils/100 leukocytes in Blood by Automated count
12209-3,Eosinophils/100 leukocytes in Body fluid by Manual count
26052-1,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field
11277-1,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field
788-0,Erythrocyte distribution width [Ratio] by Automated count
785-6,Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count
786-4,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count
787-2,Erythrocyte mean corpuscular volume [Entitic volume] by Automated count
4537-7,Erythrocyte sedimentation rate by Westergren method
13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field
789-8,Erythrocytes [#/volume] in Blood by Automated count
26455-6,Erythrocytes [#/volume] in Body fluid
792-2,Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count
15061-5,Erythropoietin (EPO) [Units/volume] in Serum or Plasma
2243-4,Estradiol (E2) [Mass/volume] in Serum or Plasma
5643-2,Ethanol [Mass/volume] in Serum or Plasma
2276-4,Ferritin [Mass/volume] in Serum or Plasma
2283-0,Folate [Mass/volume] in Red Blood Cells
2284-8,Folate [Mass/volume] in Serum or Plasma
15067-2,Follitropin [Units/volume] in Serum or Plasma
2874-6,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis
2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma
2333-3,Gastrin [Mass/volume] in Serum or Plasma
35668-3,Gentamicin [Mass/volume] in Serum or Plasma
6412-1,Giardia lamblia Ag [Presence] in Stool by Immunoassay
48643-1,Glomerular filtration rate/1.73 sq M predicted among blacks [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)
48642-3,Glomerular filtration rate/1.73 sq M predicted among non-blacks [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)
2339-0,Glucose [Mass/volume] in Blood
2344-0,Glucose [Mass/volume] in Body fluid
41653-7,Glucose [Mass/volume] in Capillary blood by Glucometer
2342-4,Glucose [Mass/volume] in Cerebral spinal fluid
2345-7,Glucose [Mass/volume] in Serum or Plasma
2350-7,Glucose [Mass/volume] in Urine
5792-7,Glucose [Mass/volume] in Urine by Test strip
2349-9,Glucose [Presence] in Urine
4542-7,Haptoglobin [Mass/volume] in Serum or Plasma
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count
718-7,Hemoglobin [Mass/volume] in Blood
5794-3,Hemoglobin [Presence] in Urine by Test strip
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood
6864-3,Hemoglobin S [Presence] in Blood by Solubility test
4625-0,Hemoglobin S/Hemoglobin.total in Blood
13952-7,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay
24113-3,Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay
13953-5,Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay
13954-3,Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay
5196-1,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay
32286-7,Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe and target amplification method
38180-6,Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by Probe and target amplification method
11259-9,Hepatitis C virus RNA [Presence] in Serum or Plasma by Probe and target amplification method
11011-4,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe and target amplification method
7793-3,Howell-Jolly bodies [Presence] in Blood by Light microscopy
5796-8,Hyaline casts [#/area] in Urine sediment by Microscopy low power field
728-6,Hypochromia [Presence] in Blood by Light microscopy
2458-8,IgA [Mass/volume] in Serum or Plasma
19113-0,IgE [Units/volume] in Serum or Plasma
2465-3,IgG [Mass/volume] in Serum or Plasma
2472-9,IgM [Mass/volume] in Serum or Plasma
25700-6,Immunofixation for Serum or Plasma
6301-6,INR in Platelet poor plasma by Coagulation assay
20448-7,Insulin [Units/volume] in Serum or Plasma
2484-4,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma
76213-8,Invasive Diastolic blood pressure
76215-3,Invasive Systolic blood pressure
2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma
2502-3,Iron saturation [Mass Fraction] in Serum or Plasma
2514-8,Ketones [Presence] in Urine by Test strip
32693-4,Lactate [Moles/volume] in Blood
2524-7,Lactate [Moles/volume] in Serum or Plasma
593-4,Legionella sp identified in Unspecified specimen by Organism specific culture
5799-2,Leukocyte esterase [Presence] in Urine by Test strip
6690-2,Leukocytes [#/volume] in Blood by Automated count
806-0,Leukocytes [#/volume] in Cerebral spinal fluid by Manual count
15212-4,Lipase [Enzymatic activity/volume] in Body fluid
3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma
10501-5,Lutropin [Units/volume] in Serum or Plasma
731-0,Lymphocytes [#/volume] in Blood by Automated count
736-9,Lymphocytes/100 leukocytes in Blood by Automated count
737-7,Lymphocytes/100 leukocytes in Blood by Manual count
10328-3,Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count
738-5,Macrocytes [Presence] in Blood by Light microscopy
24447-5,Magnesium [Mass/time] in 24 hour Urine
19123-9,Magnesium [Mass/volume] in Serum or Plasma
19124-7,Magnesium [Mass/volume] in Urine
3773-9,Methadone [Presence] in Urine
19550-3,Methadone [Presence] in Urine by Screen method
14956-7,Microalbumin [Mass/time] in 24 hour Urine
14957-5,Microalbumin [Mass/volume] in Urine
14959-1,Microalbumin/Creatinine [Mass Ratio] in Urine
741-9,Microcytes [Presence] in Blood by Light microscopy
664-3,Microscopic observation [Identifier] in Unspecified specimen by Gram stain
742-7,Monocytes [#/volume] in Blood by Automated count
5905-5,Monocytes/100 leukocytes in Blood by Automated count
25418-5,Mumps virus IgG Ab [Units/volume] in Serum by Immunoassay
2639-3,Myoglobin [Mass/volume] in Serum or Plasma
2641-9,Myoglobin [Mass/volume] in Urine
30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma
24111-7,Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by Probe and target amplification method
751-8,Neutrophils [#/volume] in Blood by Automated count
753-4,Neutrophils [#/volume] in Blood by Manual count
770-8,Neutrophils/100 leukocytes in Blood by Automated count
5802-4,Nitrite [Presence] in Urine by Test strip
8061-4,Nuclear Ab [Presence] in Serum
58413-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count
3879-4,Opiates [Presence] in Urine
19295-5,Opiates [Presence] in Urine by Screen method
8331-1,Oral temperature
2692-2,Osmolality of Serum or Plasma
2695-5,Osmolality of Urine
10998-3,Oxycodone [Presence] in Urine
2703-7,Oxygen [Partial pressure] in Arterial blood
2705-2,Oxygen [Partial pressure] in Venous blood
2708-6,Oxygen saturation in Arterial blood
59408-5,Oxygen saturation in Arterial blood by Pulse oximetry
20564-1,Oxygen saturation in Blood
2709-4,Oxygen saturation in Capillary blood
19224-5,Oxygen saturation in Mixed venous blood
2711-0,Oxygen saturation in Venous blood
7795-8,Pappenheimer bodies [Presence] in Blood by Light microscopy
2731-8,Parathyrin.intact [Mass/volume] in Serum or Plasma
2744-1,pH of Arterial blood
11558-4,pH of Blood
2748-2,pH of Body fluid
2745-8,pH of Capillary blood
2756-5,pH of Urine
5803-2,pH of Urine by Test strip
2746-6,pH of Venous blood
3948-7,Phenobarbital [Mass/volume] in Serum or Plasma
3968-5,Phenytoin [Mass/volume] in Serum or Plasma
2779-7,Phosphate [Mass/time] in 24 hour Urine
2777-1,Phosphate [Mass/volume] in Serum or Plasma
2778-9,Phosphate [Mass/volume] in Urine
777-3,Platelets [#/volume] in Blood by Automated count
49497-1,Platelets [#/volume] in Blood by Estimate
779-9,Poikilocytosis [Presence] in Blood by Light microscopy
10378-8,Polychromasia [Presence] in Blood by Light microscopy
2829-0,Potassium [Moles/time] in 24 hour Urine
6298-4,Potassium [Moles/volume] in Blood
2823-3,Potassium [Moles/volume] in Serum or Plasma
2828-2,Potassium [Moles/volume] in Urine
14338-8,Prealbumin [Mass/volume] in Serum or Plasma
33959-8,Procalcitonin [Mass/volume] in Serum or Plasma
2839-9,Progesterone [Mass/volume] in Serum or Plasma
