field,label,description,temporal,category,subcategory,identifier
82160-3,Adenovirus DNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Adenovirus DNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,1,Laboratory,Adenovirus DNA|PrThr|<Sys:ANYResp>,0
43609-7,Adipate [Presence] in 24 hour Urine,Adipate [Presence] in 24 hour Urine,1,Laboratory,Adipate|PrThr|Urine,0
26751-8,Adipate [Presence] in Urine,Adipate [Presence] in Urine,1,Laboratory,Adipate|PrThr|Urine,0
14232-3,Adrenal Ab [Presence] in Serum,Adrenal Ab [Presence] in Serum,1,Laboratory,Adrenal Ab|PrThr|Pt|ANYBldSerPlas,0
57745-2,Adrenal Ab [Presence] in Serum by Immunofluorescence,Adrenal Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Adrenal Ab|PrThr|Pt|ANYBldSerPlas,0
32661-1,Adrenal Ab [Titer] in Serum,Adrenal Ab [Titer] in Serum,1,Laboratory,Adrenal Ab|Titr|Pt|ANYBldSerPlas,0
5043-5,Adrenal Ab [Titer] in Serum by Immunofluorescence,Adrenal Ab [Titer] in Serum by Immunofluorescence,1,Laboratory,Adrenal Ab|Titr|Pt|ANYBldSerPlas,0
8060-6,Adrenal cortex Ab [Units/volume] in Serum,Adrenal cortex Ab [Units/volume] in Serum,1,Laboratory,Adrenal cortex Ab|ACnc|Pt|ANYBldSerPlas,0
6923-7,Adrenal cortex Ab [Units/volume] in Serum by Immunofluorescence,Adrenal cortex Ab [Units/volume] in Serum by Immunofluorescence,1,Laboratory,Adrenal cortex Ab|ACnc|Pt|ANYBldSerPlas,0
5044-3,Adrenal cortex Ab [Units/volume] in Serum by Radioimmunoassay (RIA),Adrenal cortex Ab [Units/volume] in Serum by Radioimmunoassay (RIA),1,Laboratory,Adrenal cortex Ab|ACnc|Pt|ANYBldSerPlas,0
76625-3,Alanine aminotransferase [Enzymatic activity/volume] in Blood,Alanine aminotransferase [Enzymatic activity/volume] in Blood,1,Laboratory,Alanine aminotransferase|CCnc|Pt|ANYBldSerPlas,0
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Alanine aminotransferase|CCnc|Pt|ANYBldSerPlas,0
1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,1,Laboratory,Alanine aminotransferase|CCnc|Pt|ANYBldSerPlas,0
1744-2,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by Without P-5'-P,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by Without P-5'-P,1,Laboratory,Alanine aminotransferase|CCnc|Pt|ANYBldSerPlas,0
77144-4,"Alanine aminotransferase [Enzymatic activity/volume] in Serum, Plasma or Blood","Alanine aminotransferase [Enzymatic activity/volume] in Serum, Plasma or Blood",1,Laboratory,Alanine aminotransferase|CCnc|Pt|ANYBldSerPlas,0
44291-3,Alanine/Creatinine [Mass Ratio] in 24 hour Urine,Alanine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Alanine/Creatinine|MRto|Urine,0
13704-2,Alanine/Creatinine [Mass Ratio] in Urine,Alanine/Creatinine [Mass Ratio] in Urine,1,Laboratory,Alanine/Creatinine|MRto|Urine,0
56671-1,Alanine/Creatinine [Ratio] in 24 hour Urine,Alanine/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,Alanine/Creatinine|Ratio|Urine,0
30068-1,Alanine/Creatinine [Ratio] in Urine,Alanine/Creatinine [Ratio] in Urine,1,Laboratory,Alanine/Creatinine|Ratio|Urine,0
25844-2,Alanine/Creatinine [Molar ratio] in 24 hour Urine,Alanine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Alanine/Creatinine|SRto|Urine,0
22698-5,Alanine/Creatinine [Molar ratio] in Urine,Alanine/Creatinine [Molar ratio] in Urine,1,Laboratory,Alanine/Creatinine|SRto|Urine,0
26795-5,Alanine [Presence] in 24 hour Urine,Alanine [Presence] in 24 hour Urine,1,Laboratory,Alanine|PrThr|Urine,0
16323-8,Alanine [Presence] in Urine,Alanine [Presence] in Urine,1,Laboratory,Alanine|PrThr|Urine,0
25843-4,Alanine [Moles/volume] in 24 hour Urine,Alanine [Moles/volume] in 24 hour Urine,1,Laboratory,Alanine|SCnc|Urine,0
27326-8,Alanine [Moles/volume] in Urine,Alanine [Moles/volume] in Urine,1,Laboratory,Alanine|SCnc|Urine,0
13705-9,Albumin/Creatinine [Mass Ratio] in 24 hour Urine,Albumin/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Albumin/Creatinine|MRto|Urine,0
9318-7,Albumin/Creatinine [Mass Ratio] in Urine,Albumin/Creatinine [Mass Ratio] in Urine,1,Laboratory,Albumin/Creatinine|MRto|Urine,0
76401-9,Albumin/Creatinine [Ratio] in 24 hour Urine,Albumin/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,Albumin/Creatinine|Ratio|Urine,0
32294-1,Albumin/Creatinine [Ratio] in Urine,Albumin/Creatinine [Ratio] in Urine,1,Laboratory,Albumin/Creatinine|Ratio|Urine,0
9406-0,Albumin/Globulin [Mass Ratio] in 24 hour Urine,Albumin/Globulin [Mass Ratio] in 24 hour Urine,1,Laboratory,Albumin/Globulin|MRto|Urine,0
44294-7,Albumin/Globulin [Mass Ratio] in 24 hour Urine by Electrophoresis,Albumin/Globulin [Mass Ratio] in 24 hour Urine by Electrophoresis,1,Laboratory,Albumin/Globulin|MRto|Urine,0
9405-2,Albumin/Globulin [Mass Ratio] in Urine,Albumin/Globulin [Mass Ratio] in Urine,1,Laboratory,Albumin/Globulin|MRto|Urine,0
44293-9,Albumin/Globulin [Mass Ratio] in Urine by Electrophoresis,Albumin/Globulin [Mass Ratio] in Urine by Electrophoresis,1,Laboratory,Albumin/Globulin|MRto|Urine,0
72596-0,Albumin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,Albumin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,1,Laboratory,Albumin/Protein.total|MFr.DF|Urine,0
72597-8,Albumin/Protein.total [Pure mass fraction] in Urine by Electrophoresis,Albumin/Protein.total [Pure mass fraction] in Urine by Electrophoresis,1,Laboratory,Albumin/Protein.total|MFr.DF|Urine,0
17819-4,Albumin/Protein.total by Electrophoresis in Urine collected for unspecified duration,Albumin/Protein.total by Electrophoresis in Urine collected for unspecified duration,1,Laboratory,Albumin/Protein.total|MFr|Urine,0
13986-5,Albumin/Protein.total in 24 hour Urine by Electrophoresis,Albumin/Protein.total in 24 hour Urine by Electrophoresis,1,Laboratory,Albumin/Protein.total|MFr|Urine,0
13992-3,Albumin/Protein.total in Urine by Electrophoresis,Albumin/Protein.total in Urine by Electrophoresis,1,Laboratory,Albumin/Protein.total|MFr|Urine,0
76631-1,Albumin [Mass/volume] in Blood by Bromocresol purple (BCP) dye binding method,Albumin [Mass/volume] in Blood by Bromocresol purple (BCP) dye binding method,1,Laboratory,Albumin|MCnc|Pt|ANYBldSerPlas,0
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin [Mass/volume] in Serum or Plasma,1,Laboratory,Albumin|MCnc|Pt|ANYBldSerPlas,0
61151-7,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,1,Laboratory,Albumin|MCnc|Pt|ANYBldSerPlas,0
61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,1,Laboratory,Albumin|MCnc|Pt|ANYBldSerPlas,0
2862-1,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,1,Laboratory,Albumin|MCnc|Pt|ANYBldSerPlas,0
77148-5,"Albumin [Mass/volume] in Serum, Plasma or Blood by Bromocresol purple (BCP) dye binding method","Albumin [Mass/volume] in Serum, Plasma or Blood by Bromocresol purple (BCP) dye binding method",1,Laboratory,Albumin|MCnc|Pt|ANYBldSerPlas,0
77940-5,Albumin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration,Albumin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration,1,Laboratory,Albumin|MCnc|Urine,0
21059-1,Albumin [Mass/volume] in 24 hour Urine,Albumin [Mass/volume] in 24 hour Urine,1,Laboratory,Albumin|MCnc|Urine,0
51190-7,Albumin [Mass/volume] in 24 hour Urine by Electrophoresis,Albumin [Mass/volume] in 24 hour Urine by Electrophoresis,1,Laboratory,Albumin|MCnc|Urine,0
1754-1,Albumin [Mass/volume] in Urine,Albumin [Mass/volume] in Urine,1,Laboratory,Albumin|MCnc|Urine,0
6942-7,Albumin [Mass/volume] in Urine by Electrophoresis,Albumin [Mass/volume] in Urine by Electrophoresis,1,Laboratory,Albumin|MCnc|Urine,0
1755-8,Albumin [Mass/time] in 24 hour Urine,Albumin [Mass/time] in 24 hour Urine,1,Laboratory,Albumin|MRat|Urine,0
6941-9,Albumin [Mass/time] in 24 hour Urine by Electrophoresis,Albumin [Mass/time] in 24 hour Urine by Electrophoresis,1,Laboratory,Albumin|MRat|Urine,0
49002-9,Albumin [Mass/time] in Urine collected for unspecified duration,Albumin [Mass/time] in Urine collected for unspecified duration,1,Laboratory,Albumin|MRat|Urine,0
29946-1,Albumin [Presence] in 24 hour Urine by Electrophoresis,Albumin [Presence] in 24 hour Urine by Electrophoresis,1,Laboratory,Albumin|PrThr|Urine,0
1753-3,Albumin [Presence] in Urine,Albumin [Presence] in Urine,1,Laboratory,Albumin|PrThr|Urine,0
50949-7,Albumin [Presence] in Urine by Test strip,Albumin [Presence] in Urine by Test strip,1,Laboratory,Albumin|PrThr|Urine,0
61151-7,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,1,Laboratory,Albumin|Pt|Ser/Plas|BCG|MassMolEquiv|2754.105 g/mole,0
62235-7,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,1,Laboratory,Albumin|Pt|Ser/Plas|BCG|MassMolEquiv|2754.105 g/mole,0
61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,1,Laboratory,Albumin|Pt|Ser/Plas|BCP|MassMolEquiv|2754.105 g/mole,0
62234-0,Albumin [Moles/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Albumin [Moles/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,1,Laboratory,Albumin|Pt|Ser/Plas|BCP|MassMolEquiv|2754.105 g/mole,0
54347-0,Albumin [Moles/volume] in Serum or Plasma,Albumin [Moles/volume] in Serum or Plasma,1,Laboratory,Albumin|SCnc|Pt|ANYBldSerPlas,0
62235-7,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,1,Laboratory,Albumin|SCnc|Pt|ANYBldSerPlas,0
62234-0,Albumin [Moles/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Albumin [Moles/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,1,Laboratory,Albumin|SCnc|Pt|ANYBldSerPlas,0
1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma,Aldolase [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Aldolase|CCnc|Pt|ANYBldSerPlas,0
2301-0,Deprecated Aldolase,Deprecated Aldolase,1,Laboratory,Aldolase|CCnc|Pt|ANYBldSerPlas,0
6698-5,Deprecated Aldolase [Enzymatic activity/volume] in Serum,Deprecated Aldolase [Enzymatic activity/volume] in Serum,1,Laboratory,Aldolase|CCnc|Pt|ANYBldSerPlas,0
2298-8,Deprecated FRUCTOSE ALDOLASE [Enzymatic activity/volume] in Serum,Deprecated FRUCTOSE ALDOLASE [Enzymatic activity/volume] in Serum,1,Laboratory,Aldolase|CCnc|Pt|ANYBldSerPlas,0
2300-2,Deprecated FRUCTOSE BIPHOSPHATE ALDOLASE [Enzymatic activity/volume] in Serum,Deprecated FRUCTOSE BIPHOSPHATE ALDOLASE [Enzymatic activity/volume] in Serum,1,Laboratory,Aldolase|CCnc|Pt|ANYBldSerPlas,0
44295-4,Aldosterone/Creatinine [Mass Ratio] in 24 hour Urine,Aldosterone/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Aldosterone/Creatinine|MRto|Urine,0
13482-5,Aldosterone/Creatinine [Mass Ratio] in Urine,Aldosterone/Creatinine [Mass Ratio] in Urine,1,Laboratory,Aldosterone/Creatinine|MRto|Urine,0
1762-4,Aldosterone [Mass/volume] in Blood,Aldosterone [Mass/volume] in Blood,1,Laboratory,Aldosterone|MCnc|Pt|ANYBldSerPlas,0
1763-2,Aldosterone [Mass/volume] in Serum or Plasma,Aldosterone [Mass/volume] in Serum or Plasma,1,Laboratory,Aldosterone|MCnc|Pt|ANYBldSerPlas,0
31992-1,Aldosterone [Mass/volume] in 24 hour Urine,Aldosterone [Mass/volume] in 24 hour Urine,1,Laboratory,Aldosterone|MCnc|Urine,0
1764-0,Aldosterone [Mass/volume] in Urine,Aldosterone [Mass/volume] in Urine,1,Laboratory,Aldosterone|MCnc|Urine,0
25845-9,Aldosterone [Moles/volume] in 24 hour Urine,Aldosterone [Moles/volume] in 24 hour Urine,1,Laboratory,Aldosterone|SCnc|Urine,0
15010-2,Aldosterone [Moles/volume] in Urine,Aldosterone [Moles/volume] in Urine,1,Laboratory,Aldosterone|SCnc|Urine,0
73853-4,Aldosterone-18-glucuronide [Moles/volume] in 24 hour Urine,Aldosterone-18-glucuronide [Moles/volume] in 24 hour Urine,1,Laboratory,Aldosterone-18-glucuronide|SCnc|Urine,0
73855-9,Aldosterone-18-glucuronide [Moles/volume] in Urine,Aldosterone-18-glucuronide [Moles/volume] in Urine,1,Laboratory,Aldosterone-18-glucuronide|SCnc|Urine,0
16182-8,Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Heat stability,Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Heat stability,1,Laboratory,Alkaline phosphatase isoenzymes|CCnc|Pt|ANYBldSerPlas,0
33063-9,Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Levamisole inhibition,Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Levamisole inhibition,1,Laboratory,Alkaline phosphatase isoenzymes|CCnc|Pt|ANYBldSerPlas,0
14588-8,Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma,Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma,1,Laboratory,Alkaline phosphatase isoenzymes|Imp|Pt|ANYBldSerPlas,0
49243-9,Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma Narrative,Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma Narrative,1,Laboratory,Alkaline phosphatase isoenzymes|Imp|Pt|ANYBldSerPlas,0
1779-8,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Alkaline phosphatase.liver|CCnc|Pt|ANYBldSerPlas,0
32135-6,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma by Heat stability,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma by Heat stability,1,Laboratory,Alkaline phosphatase.liver|CCnc|Pt|ANYBldSerPlas,0
1780-6,Alkaline phosphatase.placental [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase.placental [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Alkaline phosphatase.placental|CCnc|Pt|ANYBldSerPlas,0
16336-0,Deprecated Alkaline phosphatase.placental [Enzymatic activity/volume] in Serum or Plasma,Deprecated Alkaline phosphatase.placental [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Alkaline phosphatase.placental|CCnc|Pt|ANYBldSerPlas,0
1783-0,Alkaline phosphatase [Enzymatic activity/volume] in Blood,Alkaline phosphatase [Enzymatic activity/volume] in Blood,1,Laboratory,Alkaline phosphatase|CCnc|Pt|ANYBldSerPlas,0
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Alkaline phosphatase|CCnc|Pt|ANYBldSerPlas,0
77141-0,"Alkaline phosphatase [Enzymatic activity/volume] in Serum, Plasma or Blood","Alkaline phosphatase [Enzymatic activity/volume] in Serum, Plasma or Blood",1,Laboratory,Alkaline phosphatase|CCnc|Pt|ANYBldSerPlas,0
6769-4,Deprecated Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Deprecated Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,1,Laboratory,Alkaline phosphatase|CCnc|Pt|ANYBldSerPlas,0
73858-3,Allo-pregnanediol [Moles/volume] in 24 hour Urine,Allo-pregnanediol [Moles/volume] in 24 hour Urine,1,Laboratory,Allo-pregnanediol|SCnc|Urine,0
73856-7,Allo-pregnanediol [Moles/volume] in Urine,Allo-pregnanediol [Moles/volume] in Urine,1,Laboratory,Allo-pregnanediol|SCnc|Urine,0
82867-3,Allo-pregnanediolone [Moles/volume] in 24 hour Urine,Allo-pregnanediolone [Moles/volume] in 24 hour Urine,1,Laboratory,Allo-pregnanediolone|SCnc|Urine,0
82868-1,Allo-pregnanediolone [Moles/volume] in Urine,Allo-pregnanediolone [Moles/volume] in Urine,1,Laboratory,Allo-pregnanediolone|SCnc|Urine,0
73860-9,Allo-tetrahydrocorticosterone [Moles/volume] in 24 hour Urine,Allo-tetrahydrocorticosterone [Moles/volume] in 24 hour Urine,1,Laboratory,Allo-tetrahydrocorticosterone|SCnc|Urine,0
73859-1,Allo-tetrahydrocorticosterone [Moles/volume] in Urine,Allo-tetrahydrocorticosterone [Moles/volume] in Urine,1,Laboratory,Allo-tetrahydrocorticosterone|SCnc|Urine,0
73864-1,Allo-tetrahydrocortisol [Moles/volume] in 24 hour Urine,Allo-tetrahydrocortisol [Moles/volume] in 24 hour Urine,1,Laboratory,Allo-tetrahydrocortisol|SCnc|Urine,0
73863-3,Allo-tetrahydrocortisol [Moles/volume] in Urine,Allo-tetrahydrocortisol [Moles/volume] in Urine,1,Laboratory,Allo-tetrahydrocortisol|SCnc|Urine,0
16327-9,Allyl alcohol [Mass/volume] in Blood,Allyl alcohol [Mass/volume] in Blood,1,Laboratory,Allyl alcohol|MCnc|Pt|ANYBldSerPlas,0
12989-0,Allyl alcohol [Mass/volume] in Serum or Plasma,Allyl alcohol [Mass/volume] in Serum or Plasma,1,Laboratory,Allyl alcohol|MCnc|Pt|ANYBldSerPlas,0
32769-2,Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma,Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma,1,Laboratory,Alpha 1 antitrypsin phenotyping|Imp|Pt|ANYBldSerPlas,0
49244-7,Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma Narrative,Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma Narrative,1,Laboratory,Alpha 1 antitrypsin phenotyping|Imp|Pt|ANYBldSerPlas,0
1825-9,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,1,Laboratory,Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPlas,0
6771-0,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry,1,Laboratory,Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPlas,0
20422-2,Deprecated Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,Deprecated Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,1,Laboratory,Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPlas,0
46129-3,Deprecated Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephlometry,Deprecated Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephlometry,1,Laboratory,Alpha 1 antitrypsin|MCnc|Pt|ANYBldSerPlas,0
72592-9,Alpha 1 globulin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,Alpha 1 globulin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin/Protein.total|MFr.DF|Urine,0
72593-7,Alpha 1 globulin/Protein.total [Pure mass fraction] in Urine by Electrophoresis,Alpha 1 globulin/Protein.total [Pure mass fraction] in Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin/Protein.total|MFr.DF|Urine,0
17811-1,Alpha 1 globulin/Protein.total by Electrophoresis in Urine collected for unspecified duration,Alpha 1 globulin/Protein.total by Electrophoresis in Urine collected for unspecified duration,1,Laboratory,Alpha 1 globulin/Protein.total|MFr|Urine,0
13984-0,Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin/Protein.total|MFr|Urine,0
13990-7,Alpha 1 globulin/Protein.total in Urine by Electrophoresis,Alpha 1 globulin/Protein.total in Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin/Protein.total|MFr|Urine,0
77340-8,Alpha 1 globulin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration,Alpha 1 globulin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration,1,Laboratory,Alpha 1 globulin|MCnc|Urine,0
35708-7,Alpha 1 globulin [Mass/volume] in 24 hour Urine by Electrophoresis,Alpha 1 globulin [Mass/volume] in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin|MCnc|Urine,0
22064-0,Alpha 1 globulin [Mass/volume] in Urine,Alpha 1 globulin [Mass/volume] in Urine,1,Laboratory,Alpha 1 globulin|MCnc|Urine,0
9734-5,Alpha 1 globulin [Mass/volume] in Urine by Electrophoresis,Alpha 1 globulin [Mass/volume] in Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin|MCnc|Urine,0
29945-3,Alpha 1 globulin [Presence] in 24 hour Urine by Electrophoresis,Alpha 1 globulin [Presence] in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 1 globulin|PrThr|Urine,0
27184-1,Alpha 1 globulin [Presence] in Urine,Alpha 1 globulin [Presence] in Urine,1,Laboratory,Alpha 1 globulin|PrThr|Urine,0
72588-7,Alpha 2 globulin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,Alpha 2 globulin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin/Protein.total|MFr.DF|Urine,0
72589-5,Alpha 2 globulin/Protein.total [Pure mass fraction] in Urine by Electrophoresis,Alpha 2 globulin/Protein.total [Pure mass fraction] in Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin/Protein.total|MFr.DF|Urine,0
17813-7,Alpha 2 globulin/Protein.total by Electrophoresis in Urine collected for unspecified duration,Alpha 2 globulin/Protein.total by Electrophoresis in Urine collected for unspecified duration,1,Laboratory,Alpha 2 globulin/Protein.total|MFr|Urine,0
13987-3,Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin/Protein.total|MFr|Urine,0
13993-1,Alpha 2 globulin/Protein.total in Urine by Electrophoresis,Alpha 2 globulin/Protein.total in Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin/Protein.total|MFr|Urine,0
77581-7,Alpha 2 globulin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration,Alpha 2 globulin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration,1,Laboratory,Alpha 2 globulin|MCnc|Urine,0
38189-7,Alpha 2 globulin [Mass/volume] in 24 hour Urine by Electrophoresis,Alpha 2 globulin [Mass/volume] in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin|MCnc|Urine,0
6888-2,Alpha 2 globulin [Mass/volume] in Urine,Alpha 2 globulin [Mass/volume] in Urine,1,Laboratory,Alpha 2 globulin|MCnc|Urine,0
38190-5,Alpha 2 globulin [Mass/volume] in Urine by Electrophoresis,Alpha 2 globulin [Mass/volume] in Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin|MCnc|Urine,0
29947-9,Alpha 2 globulin [Presence] in 24 hour Urine by Electrophoresis,Alpha 2 globulin [Presence] in 24 hour Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin|PrThr|Urine,0
53771-2,Alpha 2 globulin [Presence] in Urine by Electrophoresis,Alpha 2 globulin [Presence] in Urine by Electrophoresis,1,Laboratory,Alpha 2 globulin|PrThr|Urine,0
56668-7,Alpha aminoadipate/Creatinine [Ratio] in 24 hour Urine,Alpha aminoadipate/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,Alpha aminoadipate/Creatinine|Ratio|Urine,0
28598-1,Alpha aminoadipate/Creatinine [Ratio] in Urine,Alpha aminoadipate/Creatinine [Ratio] in Urine,1,Laboratory,Alpha aminoadipate/Creatinine|Ratio|Urine,0
25847-5,Alpha aminoadipate/Creatinine [Molar ratio] in 24 hour Urine,Alpha aminoadipate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Alpha aminoadipate/Creatinine|SRto|Urine,0
26601-5,Alpha aminoadipate/Creatinine [Molar ratio] in Urine,Alpha aminoadipate/Creatinine [Molar ratio] in Urine,1,Laboratory,Alpha aminoadipate/Creatinine|SRto|Urine,0
25846-7,Alpha aminoadipate [Moles/volume] in 24 hour Urine,Alpha aminoadipate [Moles/volume] in 24 hour Urine,1,Laboratory,Alpha aminoadipate|SCnc|Urine,0
26725-2,Alpha aminoadipate [Moles/volume] in Urine,Alpha aminoadipate [Moles/volume] in Urine,1,Laboratory,Alpha aminoadipate|SCnc|Urine,0
44296-2,Alpha aminobutyrate/Creatinine [Mass Ratio] in 24 hour Urine,Alpha aminobutyrate/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Alpha aminobutyrate/Creatinine|MRto|Urine,0
13667-1,Alpha aminobutyrate/Creatinine [Mass Ratio] in Urine,Alpha aminobutyrate/Creatinine [Mass Ratio] in Urine,1,Laboratory,Alpha aminobutyrate/Creatinine|MRto|Urine,0
28609-6,Alpha aminobutyrate/Creatinine [Ratio] in 24 hour Urine,Alpha aminobutyrate/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,Alpha aminobutyrate/Creatinine|Ratio|Urine,0
28590-8,Alpha aminobutyrate/Creatinine [Ratio] in Urine,Alpha aminobutyrate/Creatinine [Ratio] in Urine,1,Laboratory,Alpha aminobutyrate/Creatinine|Ratio|Urine,0
25849-1,Alpha aminobutyrate/Creatinine [Molar ratio] in 24 hour Urine,Alpha aminobutyrate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Alpha aminobutyrate/Creatinine|SRto|Urine,0
26919-1,Alpha aminobutyrate/Creatinine [Molar ratio] in Urine,Alpha aminobutyrate/Creatinine [Molar ratio] in Urine,1,Laboratory,Alpha aminobutyrate/Creatinine|SRto|Urine,0
